Cod;R;R1;Giocatore;Squadra;QI;QA;+/-
10;A;A;DE KETELAERE C.;ATALANTA;40;39;-1
654;A;A;DE MARTIS T.;PARMA;4;4;0
65;A;A;DIA B.;LAZIO;21;23;2
615;A;A;DIALLO O.;PARMA;3;3;0
64;A;A;DIAO A.;COMO;30;30;0
117;A;A;DOMINGUEZ B.;SASSUOLO;18;18;0
154;A;A;DOUVIKAS T.;COMO;65;67;2
407;A;A;DOVBYK A.;BOLOGNA;20;19;-1
408;A;A;DYBALA P.;ROMA;50;54;4
266;A;A;EKHATOR J.;JUVENTUS;20;20;0
389;A;A;ELPHEGE N.;PARMA;22;22;0
245;A;A;ESPOSITO F.;INTER;40;46;6
132;A;A;ESPOSITO S.;CAGLIARI;40;40;0
673;A;A;FATAH A.;LECCE;9;9;0
133;A;A;FELICI M.;CAGLIARI;9;10;1
206;A;A;FINI S.;FROSINONE;10;10;0
348;A;A;FORSON O.;MONZA;3;3;0
390;A;A;FRIGAN M.;PARMA;10;10;0
706;A;A;GABELLINI T.;TORINO;1;1;0
619;A;A;GEUBBELS W.;LECCE;16;16;0
1;A;A;GHEDJEMIS F.;FROSINONE;25;25;0
46;A;A;GIMENEZ S.;MILAN;22;22;0
369;A;A;GIOVANE D.;NAPOLI;25;25;0
632;A;A;GONZALEZ N.;JUVENTUS;18;18;0
465;A;A;GUEYE I.;UDINESE;15;14;-1
586;A;A;HAVEL E.;GENOA;21;21;0
370;A;A;HOJLUND R.;NAPOLI;78;75;-3
284;A;A;ISAKSEN G.;LAZIO;26;26;0
505;A;A;JOVIC M.;LECCE;1;1;0
516;A;A;KARLSSON J.;BOLOGNA;9;9;0
182;A;A;KEAN M.;FIORENTINA;64;63;-1
616;A;A;KOLO MUANI R.;JUVENTUS;76;73;-3
97;A;A;KRSTOVIC N.;ATALANTA;56;58;2
155;A;A;KUHN N.;COMO;20;20;0
441;A;A;KULENOVIC S.;TORINO;17;17;0
683;A;A;KULLA G.;SASSUOLO;1;1;0
207;A;A;KVERNADZE G.;FROSINONE;18;19;1
647;A;A;LAERKE H.;LECCE;1;1;0
53;A;A;LANG N.;NAPOLI;35;35;0
489;A;A;LAUBERBACH L.;VENEZIA;6;6;0
424;A;A;LAURIENTÉ A.;SASSUOLO;46;46;0
246;A;A;LAVELLI M.;INTER;1;1;0
55;A;A;LEAO R.;MILAN;65;64;-1
554;A;A;LISMAN K.;VENEZIA;10;10;0
646;A;A;LONTANI S.;PARMA;1;3;2
519;A;A;LOUBAO S.;MONZA;3;3;0
531;A;A;LUCCA L.;NAPOLI;28;28;0
52;A;A;MALEN D.;ROMA;84;93;9
3;A;A;MARTINEZ L.;INTER;88;85;-3
518;A;A;MARTINS K.;MONZA;3;3;0
134;A;A;MENDY P.;CAGLIARI;5;5;0
264;A;A;MILIK A.;JUVENTUS;10;10;0
563;A;A;MODESTO R.;UDINESE;5;5;0
156;A;A;MORATA A.;COMO;18;18;0
247;A;A;MOSCONI M.;INTER;1;1;0
349;A;A;MOTA D.;MONZA;19;19;0
661;A;A;MUTANDWA K.;CAGLIARI;13;13;0
309;A;A;N'DRI K.;LECCE;17;17;0
372;A;A;NERES D.;NAPOLI;42;42;0
530;A;A;NGONGE C.;NAPOLI;18;18;0
442;A;A;NJIE A.;TORINO;20;22;2
285;A;A;NOSLIN T.;LAZIO;23;23;0
695;A;A;NUREDINI J.;GENOA;1;1;0
181;A;A;NZOLA M.;FIORENTINA;20;20;0
567;A;A;OKORO A.;VENEZIA;7;7;0
669;A;A;OSMAJIC M.;GENOA;0;14;14
675;A;A;PELLEGRI P.;TORINO;6;6;0
392;A;A;PELLEGRINO M.;FIORENTINA;48;46;-2
183;A;A;PICCOLI R.;BOLOGNA;26;26;0
681;A;A;PIERINI N.;SASSUOLO;2;2;0
426;A;A;PINAMONTI A.;LAZIO;54;53;-1
208;A;A;RAIMONDO A.;FROSINONE;23;23;0
56;A;A;RAMOS G.;MILAN;78;77;-1
98;A;A;RASPADORI G.;ATALANTA;42;45;3
286;A;A;RATKOV P.;LAZIO;20;20;0
628;A;A;ROBINSON J.;MONZA;9;9;0
157;A;A;RODRIGUEZ J.;COMO;40;38;-2
641;A;A;ROMERO D.;PARMA;18;18;0
118;A;A;ROWE J.;BOLOGNA;40;39;-1
584;A;A;RRAHMANI Al.;VENEZIA;10;10;0
99;A;A;SCAMACCA G.;ATALANTA;60;59;-1
443;A;A;SIMEONE G.;TORINO;57;55;-2
677;A;A;SKJELLERUP L.;SASSUOLO;3;3;0
4;A;A;SOULE M.;ROMA;56;55;-1
248;A;A;SPINACCÈ M.;INTER;1;1;0
310;A;A;STULIC N.;LECCE;29;28;-1
39;A;A;SULEMANA K.;ATALANTA;23;23;0
38;A;A;THURAM M.;INTER;74;73;-1
581;A;A;TOURÉ E.;PARMA;13;13;0
709;A;A;TOURÉ M.;VENEZIA;1;1;0
136;A;A;TREPY Y.;CAGLIARI;4;4;0
606;A;A;VARELA G.;MONZA;14;19;5
409;A;A;VAZ R.;ROMA;20;20;0
533;A;A;VIGLIOTTI G.;NAPOLI;1;1;0
466;A;A;VINCIATI G.;UDINESE;1;1;0
227;A;A;VÍTINHA;GENOA;31;30;-1
34;A;A;YEBOAH J.;VENEZIA;24;24;0
73;A;A;YILDIZ K.;JUVENTUS;70;67;-3
444;A;A;ZAPATA D.;TORINO;43;42;-1
682;A;A;ZULEVIC A.;GENOA;1;1;0
